7711562,10,10
7711562,11,40
7711562,13,3
7911462,3,37
7811612,3,12
8410630,2,79
7911031,14,251
8010563,23,11A
7911031,25,54
8010020,37,
7911314,2,39
7711562,10,5
8011464,7,53
7811612,1,1
7811612,4,1
8110274,14,3
8111923,5,4
7911462,2,69
7811587,2,117
7911462,2,28
8011268,3,40
7711562,12,11
7711564,14,77
7711562,12,1
7811587,3,29
8011464,2,14
7911031,25,14
7711562,12,17
7711564,15,49
7710734,7,40
7810870,2,20
8010563,23,13A
7711564,18,4
7911462,2,1
7710734,11,15
7911462,2,75
7711277,15,7
7911462,3,15
8910597,1,
8910597,2,
7710734,7,37
7711562,13,64
7911314,2,26
8410630,3,3
8910613,1,
7711277,7,65
7711277,15,4
7911462,2,39
7811612,1,2
8011429,3,10
7911314,3,33
7811612,3,22
8011268,3,37
8011464,1,50
7711562,13,68
7810870,2,22
1615LK,F,28
7911031,14,228
7911462,2,34
8010580,7,
7711562,11,54
8111923,7,45
7911031,21,2
8410630,3,30
8410630,3,10
8410630,3,9
7911314,3,12
7910466,5,13
7711564,15,46
7711564,15,79
7711277,17,2
7910808,3,48A
7711562,13,38
7911314,1,24
7810713,13,86
731468,4,
8011464,8,4
8111923,7,50
7711562,11,38
8610900,6,20
8011464,3,26
8074JK,3,1
8410630,2,70
7911462,2,36
7710734,7,36
7911031,22,18
5541R,5,23,24
7711564,16,5
7711564,14,69
8011429,5,25
7711562,12,23
8111923,7,48
7711562,11,6
7810870,2,11
8011464,8,15
7911314,1,35
7811587,2,61
8011429,4,3
7811612,3,52
7911031,14,156
7711564,15,59
8410630,2,82
7910466,5,28
7810870,5,27
7911031,14,244
8410630,2,78
7710734,11,3
8410630,1,14
5541R,4,33,34
7711564,17,23
7811587,2,63
7911462,2,45
7910466,7,16
7911462,2,41
7911031,28,30
7710734,7,22
8011464,7,56
8410630,3,31
1035LK,2,41
2590GU,2,16
8011464,1,17
8110432,2,17A
7711562,11,35
8410630,4,1
7711277,7,77
8011464,1,20
8011268,1,2
7711564,14,78
7711562,13,19
7911314,2,35
7810870,2,1
7711277,7,108
8610900,5,32
8074JK,2,5
8011429,2,55
7711562,11,63
7711562,13,6
7811612,4,18
8410630,3,16
7711562,10,17
7711562,14,4
5541R,E,3-Jan
8011429,3,22
7711564,14,60
7711562,12,14
7711564,14,89
7711564,16,24
7811587,2,114
7911462,3,3
8010020,43,
7810870,3,5
7810182,F,7
8111884,2,16A
7910466,5,1
7711562,14,8
7711564,15,31
7711564,14,76
8011429,5,13
7711277,7,117
7911031,29,8
7911462,1,24
8410630,3,2
8410630,1,1
8410630,3,15
7710734,10,13
7711564,14,138
7711564,14,97
8010020,41,
7811612,4,44
7155JK,1,13
8410630,2,96
8011464,1,4
7811612,1,4
7711277,16,28
7911462,2,2
7711564,15,113
7810870,3,14
7711562,11,4
7711564,14,67
7911314,1,32
8011268,2,6
8410630,1,7
8410630,3,11
8410630,1,12
7911031,29,27
7711562,14,45
7811612,4,17
8011464,7,66
7710734,7,21
7711277,7,120
7711562,14,19
7911462,1,22
8011268,3,42
8110092,3,23B
7910466,6,19
7711564,15,13
8010580,18,
1035LK,3,5
1035LK,2,5
8011464,7,47
8110092,3,23A
7910466,6,25
7711562,12,18
7811587,3,26
7710734,11,5
