ArticleNumber,AvailableQty,expectedDeliveryDateFormatted,inventoryCount,inventoryCountFormatted,quantityFormatted
82045159,0.00,,91,91,1
82045594,193.00,16-07-2019,0,0,1
82045598,250.00,16-07-2019,0,0,1
82045404,0.00,,98,98,1
82045232,50.00,30-12-2019,29,29,1
82045554,0.00,,66,66,1
82045470,0.00,,41,41,1
82045724,77.00,26-08-2019,-1,-1,1
82045381,86.00,30-07-2019,0,0,1
82045606,0.00,,233,233,1
82045726,62.00,02-12-2019,119,119,1
82045727,51.00,02-12-2019,27,27,1
82045586,104.00,02-12-2019,17,17,1
82045163,0.00,,72,72,1
82045600,286.00,16-07-2019,0,0,1
82045909,0.00,,67,67,1
82046051,4.00,13-03-2020,62,62,1
82046017,100.00,11-11-2019,26,26,1
82046052,4.00,13-03-2020,47,47,1
82046056,196.00,16-08-2019,134,134,1
82046058,52.00,30-11-2019,19,19,1
82046393,1.00,13-03-2020,42,42,1
82046411,74.00,26-08-2019,0,0,1
82046412,81.00,26-08-2019,0,0,1
82046425,0.00,,191,191,1
82046434,0.00,,87,87,1
82046436,144.00,26-08-2019,0,0,1
82042407,0.00,,83,83,1
82046435,41.00,29-07-2019,0,0,1
82046440,24.00,05-08-2019,0,0,1
82042019,50.00,28-10-2019,67,67,1
82042021,1.00,13-03-2020,62,62,1
82042469,6.00,13-03-2020,81,81,1
82043318,0.00,,33,33,1
82042867,0.00,,48,48,1
82043344,2.00,13-03-2020,47,47,1
82043367,0.00,,40,40,1
82043372,0.00,,35,35,1
82043487,0.00,,63,63,1
32703176,0.00,,221,221,1
90902722,0.00,,0,0,1
89110309,0.00,,112,112,1
22200012,0.00,,73,73,1
32407535,0.00,,251,251,1
32706859,0.00,,12,12,1
32708243,0.00,,93,93,1
32708251,0.00,,28,28,1
32708266,50.00,28-10-2019,215,215,1
40608707,0.00,,326,326,1
904040,0.00,,121,121,1
905050,0.00,,109,109,1
906060,0.00,,170,170,1
82041303,8.00,13-03-2020,91,91,1
82041667,0.00,,12,12,1
82041761,50.00,31-08-2019,2,2,1
82043319,0.00,,69,69,1
82044544,12.00,01-11-2019,14,14,1
82044545,0.00,,12,12,1
82044546,23.00,01-11-2019,0,0,1
82044547,0.00,,14,14,1
82044548,24.00,01-11-2019,10,10,1
82044549,10.00,01-11-2019,10,10,1
82044550,11.00,01-11-2019,17,17,1
82044563,7.00,13-03-2020,77,77,1
82045180,0.00,,31,31,1
82045182,47.00,27-09-2019,4,4,1
82045231,8.00,13-03-2020,139,139,1
82045254,0.00,,48,48,1
82045255,0.00,,58,58,1
82045258,54.00,18-11-2019,54,54,1
