Title,Price,Description,Url,Image
Rudi Gernreich,$820,Black Pin Dress,https://www.ssense.com/en-ch/women/product/rudi-gernreich/black-pin-dress/3813049,//googleads.g.doubleclick.net/pagead/viewthroughconversion/1063827787/?value=0&label=IFM5CImLwQMQy_Ki-wM&guid=ON&script=0
Rudi Gernreich,$820,Red D-Ring Sweater,https://www.ssense.com/en-ch/women/product/rudi-gernreich/red-d-ring-sweater/3813149,//bat.bing.com/action/0?ti=4008316&Ver=2
Rudi Gernreich,$820,Black D-Ring Sweater,https://www.ssense.com/en-ch/women/product/rudi-gernreich/black-d-ring-sweater/3813159,https://www.facebook.com/tr?id=1084416341572353&ev=PageView&noscript=1
Rudi Gernreich,$965,Orange Ring Zipper Trousers,https://www.ssense.com/en-ch/women/product/rudi-gernreich/orange-ring-zipper-trousers/3813789,//res.cloudinary.com/ssenseweb/image/upload/v1409080279/web/ssense_logo_v2.png
Max Mara,$1400,Tan Manuela Coat,https://www.ssense.com/en-ch/women/product/max-mara/tan-manuela-coat/4311171,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Rudi Gernreich,$820,Off-White Pin Dress,https://www.ssense.com/en-ch/women/product/rudi-gernreich/off-white-pin-dress/3813039,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Rudi Gernreich,$965,Black Ring Zipper Trousers,https://www.ssense.com/en-ch/women/product/rudi-gernreich/black-ring-zipper-trousers/3813799,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
MSGM,$55,SSENSE Exclusive Pink Checked Headband,https://www.ssense.com/en-ch/women/product/msgm/ssense-exclusive-pink-checked-headband/4040361,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Vetements,$445,Black 'Birthday' T-Shirt,https://www.ssense.com/en-ch/women/product/vetements/black-birthday-t-shirt/4164061,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Vetements,$190,White Fitted T-Shirt,https://www.ssense.com/en-ch/women/product/vetements/white-fitted-t-shirt/4164111,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Vetements,$445,White 'Birthday' T-Shirt,https://www.ssense.com/en-ch/women/product/vetements/white-birthday-t-shirt/4164051,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Vetements,$650,Pink Cut-Up Lounge Pants,https://www.ssense.com/en-ch/women/product/vetements/pink-cut-up-lounge-pants/4164831,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Vetements,$350,Black Logo Baywatch One-Piece Swimsuit,https://www.ssense.com/en-ch/women/product/vetements/black-logo-baywatch-one-piece-swimsuit/4164321,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Vetements,$350,Red Logo Baywatch One-Piece Swimsuit,https://www.ssense.com/en-ch/women/product/vetements/red-logo-baywatch-one-piece-swimsuit/4164361,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Vetements,$350,Pink Logo Baywatch One-Piece Swimsuit,https://www.ssense.com/en-ch/women/product/vetements/pink-logo-baywatch-one-piece-swimsuit/4164331,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$1750,Tan Small Hammock Bag,https://www.ssense.com/en-ch/women/product/loewe/tan-small-hammock-bag/4007541,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$1850,Tan Small Hammock Bag,https://www.ssense.com/en-ch/women/product/loewe/tan-small-hammock-bag/3966941,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$1900,Black & Taupe Small Hammock Bag,https://www.ssense.com/en-ch/women/product/loewe/black-and-taupe-small-hammock-bag/3967021,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$2250,Tan & Black Puzzle Bag,https://www.ssense.com/en-ch/women/product/loewe/tan-and-black-puzzle-bag/3965321,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$1500,Tan Small Flamenco Knot Tote,https://www.ssense.com/en-ch/women/product/loewe/tan-small-flamenco-knot-tote/4007531,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$2100,Tan Puzzle Bag,https://www.ssense.com/en-ch/women/product/loewe/tan-puzzle-bag/3965301,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$1950,Tan Small Puzzle Bag,https://www.ssense.com/en-ch/women/product/loewe/tan-small-puzzle-bag/3965401,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$1580,Tan Small Gate Bag,https://www.ssense.com/en-ch/women/product/loewe/tan-small-gate-bag/3966451,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$1300,Tan Mini Puzzle Bag,https://www.ssense.com/en-ch/women/product/loewe/tan-mini-puzzle-bag/3965581,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$980,Tan Mini Gate Bag,https://www.ssense.com/en-ch/women/product/loewe/tan-mini-gate-bag/3979491,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$780,Tan Gate Pochette Bag,https://www.ssense.com/en-ch/women/product/loewe/tan-gate-pochette-bag/3966881,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$1350,Black Small Flamenco Knot Bag,https://www.ssense.com/en-ch/women/product/loewe/black-small-flamenco-knot-bag/3968171,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$1500,Navy Small Flamenco Knot Tote,https://www.ssense.com/en-ch/women/product/loewe/navy-small-flamenco-knot-tote/4007551,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$2100,Black Puzzle Bag,https://www.ssense.com/en-ch/women/product/loewe/black-puzzle-bag/3965291,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$2200,Navy & Black Puzzle Bag,https://www.ssense.com/en-ch/women/product/loewe/navy-and-black-puzzle-bag/3965341,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$1850,Black Small Puzzle Bag,https://www.ssense.com/en-ch/women/product/loewe/black-small-puzzle-bag/3965481,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Loewe,$1300,Black Mini Puzzle Bag,https://www.ssense.com/en-ch/women/product/loewe/black-mini-puzzle-bag/3965571,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
