Brand,Category,Details,DrugFacts,NumberofReviews,Path,Price,ProductLink,ProductName,StarRating,SubCategory
Pacifica,Beauty,"Chat with a Target Beauty Concierge
Clean
Phthalate Free
Paraben Free
Cruelty Free
Vegan
Highlights
Hydrating overnight facial mask
Infused with floral cells, quinoa and mushrooms
Recommended for dry and combination skin types
100% vegan and cruelty-free
Get your beauty rest x 10 with the Pacifica Wake up Beautiful Mask - 1.7 oz. This lush vegan skin care product is applied before bed to replenish dry, tired skin with nourishing floral cells and other natural essences.
Scent: Floral
Health Facts: Contains hyaluronic acid, nonylphenol ethoxylate free, butylparaben-free, propylparaben-free, formaldehyde-free, formaldehyde donor-free, phthalate-free, vegan, Sulfate-free, paraben-free, dye-free, aluminum-free
Product Form: Gel
Sustainability Claims: Cruelty-free, not tested on animals
Beauty Purpose: Deep hydration, Pore Cleansing
Recommended Skin Type: Combination, dry
TCIN: 51398180
UPC: 687735301918
Item Number (DPCI): 037-05-1052
Healthcare Disclaimer:
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers.
Clean
Your clear choice for clean.  Ingredients these products are formulated without, by category: • Beauty, Personal Care & Cleaning - formulated without Phthalates, Propyl-paraben & Butyl-paraben, Sodium Laureth Sulfate (SLES). • Feminine Care, Adult Care & Diapers - fragrance free and chlorine free. • Pets - formulated with meat, poultry, or seafood as the first ingredient, and without artificial colors, flavors, or preservatives.
Phthalate Free
A product that either carries an unqualified on-pack statement indicating that the product is free from phthalates, or carries an unqualified on-pack statement ""no phthalates.""
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
Cruelty Free
A product has an independent third-party certification on pack or unqualified on-pack marketing claim relating to being cruelty-free and/or not tested on animals.
Vegan
A product that carries an unqualified independent, third-party certification, or carries on-pack statement relating to the product being 100% vegan.
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Aqua, Caprylic/capric Triglyceride, Helianthus Annuus (sunflower) Oil, Glycerin, Glyceryl Stearate, Stearic Acid, Aloe Barbadensis Leaf Juice, Butyrospermum Parkii (shea) Butter, Xanthan Gum, Persea Gratissima (avocado) Oil, Rosa Centifolia Flower Extract, Jasminum Officinale (jasmine) Flower Water, Panthenol (vitamin B), Allantoin, Tocopherol (vitamin E), Hydrolyzed Rice Protein, Oryza Sativa (rice) Bran Oil, Hyaluronic Acid, Ganoderma Lucidum (mushroom) Stem Extract, Lentinus Edodes (mushroom) Extract, Chenopodium Quinoa Seed Extract, Calendula Officinalis Flower Extract, Phenoxyethanol, Ethylhexylglycerin, Chamomilla Recutita (matricaria) Flower Extract, Parfum (natural Aromatherapy Blend).",142,Target/Beauty/Skin Care/Facial Treatments,$14.99,https://www.target.com/p/pacifica-wake-up-beautiful-super-hydration-sleepover-face-mask-2-fl-oz/-/A-51398180,Pacifica Wake Up Beautiful Super Hydration Sleepover Face Mask - 2 fl oz,4.7,Skin Care
Love Beauty and Planet,Beauty,"Clean
Paraben Free
Cruelty Free
Dye-Free
Plant Based
Vegan
Highlights
Love Beauty and Planet Muru Muru Butter & Rose Delicious Glow Body Lotion provides incredible moisture benefits that makes skin look and feel gorgeous.
Our Love Beauty and Planet body lotions provides 24 hours moisturization.
Infused with Murumuru Butter, this body lotion revel skin and is scented with the freshness of handpicked Bulgarian Rose Petals.
Love Beauty and Planet's Muru Muru butter & Rose body lotion leaves your skin luminous and soft.
YES Natural Muru Muru butter, YES Ethically Sourced Rose, YES vegan, YES with plant based moisturizers, YES not tested on animals, NO parabens body lotion, NO silicones, body lotion, NO dyes body lotion, NO guilt
At Love Beauty and Planet we are committed to acts of love that make you and our planet a little more beautiful, everyday. Our goal is a carbon footprint so small it's like we weren't even here. We started our journey by loading our beauty products with goodness. Every one of our bottles is made from 100% recycled materials and are recyclable. Our caps and pumps aren't made from recycled plastics yet, but we're working on it. With our delicious glow body lotion your skin will be radiant and soft.
Scent: Rose
Suggested Age: All Ages
Health Facts: Aluminum-free, dye-free, paraben-free, vegan
Sustainability Claims: Cruelty-free, plant-based
Beauty Purpose: Moisturizing
Recommended Skin Type: Dry
TCIN: 75558431
UPC: 055086002370
Item Number (DPCI): 037-13-0678
Clean
Your clear choice for clean.  Ingredients these products are formulated without, by category: • Beauty, Personal Care & Cleaning - formulated without Phthalates, Propyl-paraben & Butyl-paraben, Sodium Laureth Sulfate (SLES). • Feminine Care, Adult Care & Diapers - fragrance free and chlorine free. • Pets - formulated with meat, poultry, or seafood as the first ingredient, and without artificial colors, flavors, or preservatives.
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
Cruelty Free
A product has an independent third-party certification on pack or unqualified on-pack marketing claim relating to being cruelty-free and/or not tested on animals.
Dye-Free
A product that either makes an unqualified on-pack statement indicating that it does not contain dye, or carries an unqualified on-pack statement such as ""no dyes"" or ""dye-free.""
Plant Based
A product that carries an unqualified on-pack plant-based statement referring to the product (not plant-based packaging).
Vegan
A product that carries an unqualified independent, third-party certification, or carries on-pack statement relating to the product being 100% vegan.
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Water (aqua), Glycerin*, Stearic Acid*, Glycine Soja (soybean) Oil*, Glycol Stearate*, Fragrance (parfum), Triethanolamine, Glyceryl Stearate*, Caprylyl Glycol, Cetyl Alcohol*, Phenoxyethanol, Hydroxyethylcellulose, Carbomer, Disodium Edta, Bht, Stearamide Amp*, Astrocaryum Murumuru Seed Butter*, Helianthus Annuus (sunflower) Seed Oil*, Benzyl Salicylate, Linalool, Coumarin, Hydroxycitronellal, Alpha-isomethyl Ionone, Benzyl Alcohol, Citronellol, Geraniol, Hexyl Cinnamal, Limonene.",267,Target/Beauty/Bath & Body/Body Lotions & Creams,$6.99,https://www.target.com/p/love-beauty-planet-murumuru-butter-and-rose-oil-hand-and-body-lotion-13-5oz/-/A-75558431,Love Beauty & Planet Murumuru Butter And Rose Oil Hand And Body Lotion - 13.5oz,4.6,Bath & Body
Good Chemistry,Beauty,"Paraben Free
Cruelty Free
Vegan
Highlights
Notes of black currant, peony, amber
Vegan
Cruelty-free
Paraben-free & Proplyene Glycol-free
.25fl oz Rollerball
Good Chemistry is know-how meets nature; a just-right composition of instinct and identity that designs a life that pops with personality. Fragrance notes of black currant, peony and amber make our Queen Bee rollerball perfume vibrant + bold with a touch of sass.
Scent: Fresh
Health Facts: Aluminum-free, dye-free, paraben-free, vegan, phthalate-free
Product Warning: Adult Use Only
Product Form: Roll on
Package Quantity: 1
Sustainability Claims: Cruelty-free
TCIN: 52698136
UPC: 644911971174
Item Number (DPCI): 052-05-0300
Origin: Assem USA w/foreign/dom. parts
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
Cruelty Free
A product has an independent third-party certification on pack or unqualified on-pack marketing claim relating to being cruelty-free and/or not tested on animals.
Vegan
A product that carries an unqualified independent, third-party certification, or carries on-pack statement relating to the product being 100% vegan.
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Alcohol Denat., Fragrance*, Water",90,Target/Beauty/Fragrances,$12.99,https://www.target.com/p/queen-bee-by-good-chemistry-eau-de-parfum-women-s-rollerball-25-fl-oz/-/A-52698136,Queen Bee by Good Chemistry Eau de Parfum Women's Rollerball - .25 fl oz.,4.8,Fragrances
Revlon,Beauty,"Chat with a Target Beauty Concierge
Highlights
Original REVLON One Step Volumizer has NEW Features.
The same Brush designed with Nylon Pin & Tufted Bristles for detangling, improved volume and control. Unique Oval Brush Design for Smoothing the Hair, while the Round Edges Create Volume. 1100-Watt power provides just the right heat. Unlike conventional hair dryers, this volumizer can be placed closer to the scalp for lift. 3 Heat/Speed Settings for Styling Flexibility
NEW: Built with a genuine ION generator to promote faster drying and create styles full of shinier and healthier-looking hair. Still has the Ceramic Coating which helps protect hair from over-styling with even heat distribution that penetrates hair quickly and dries from the inside out
NEW: Safety First: The Revlon One-Step Hair Dryer and Volumizer meets U.S. safety requirements and proudly features the ETL Certification seal (look for the 'test' button on the plug which is required for all hair dryers in the U.S.) Also, look for the BLACK base which has extra VENTs for cooler operating.
NEW: 4-year limited warranty. Non-detachable brush head. Need to chat? Our trusted Customer Service Team is waiting to hear from you. Based in the U.S., our team members are on-hand to receive feedback and answer questions via email at contact@revlonhairtools.com, or phone call at 1-800-487-7273, Monday-Friday from 7:30am to 5pm MDT.
The REVLON One Step Unit is designed for 120V USA outlets ONLY. Do NOT use a Voltage Converter as it will damage the Unit. If you need 220V or for other counties - please check Amazon in the country for the correct voltage and plug.
The Revlon One-Step Hair Dryer and Volumizer is designed to deliver gorgeous volume and brilliant shine in a single step. The unique oval brush design smooth hair while the rounded edges quickly create volume at the root and beautifully full-bodied curls at the ends in a single pass, for salon blowouts at home.
The brush is designed with Nylon Pin & Tufted Bristles for detangling, improved volume and control. Styling flexibility is guaranteed with 2 Heat/Speed Settings and a Cool Option. Built with 1100 Watt power to provide just the right amount of heat. Unlike conventional hair dryers, this volumizer can be placed closer to the scalp for lift. Boosted by Ionic Technology through a built-in genuine ION generator, hair dries fast and helps reduce heat damage. T
he One Step Unit is designed for 120V USA outlets only, we do NOT recommend use of a Voltage Converter as it will damage the unit. Safety first! The Revlon One-Step Hair Dryer and Volumizer meets U.S. safety requirements and proudly features the ETL Certification seal. Need to chat? Our trusted Customer Service Team is waiting to hear from you. Based in the U.S. our team members are on-hand to receive feedback and answer questions via email at contact@revlonhairtools.com, or phone call at 1-800-487-7273. The cutting-edge performance of the Original One-Step Hair Dryer and Volumizer is guaranteed through a limited 4-year warranty.
Hair Type: All Hair Types
Number of Pieces: 1
Number of Heat Settings: 3
Beauty Purpose: Hair Styling, Volumizing
Heating Time: 1 minutes
Material: Plastic
Features: Corded
Power Source: Electric
Care & Cleaning: Spot or wipe clean
TCIN: 50854658
UPC: 761318252221
Item Number (DPCI): 063-09-0287
Origin: Imported
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.",,1616,Target/Beauty/Hair Care/Hair Styling Tools,$53.99,https://www.target.com/p/revlon-oval-one-step-hair-dryer-volumizing-styler/-/A-50854658,Revlon Oval One-Step Hair Dryer & Volumizing Styler,4.6,Hair Care
Kristin Ess,Beauty,"Chat with a Target Beauty Concierge
Highlights
titanium plates delivers heat faster
ionic technology boosts shine
even heat from root to tip
4 heat settings up to 440° f
auto shut-off for less stress
TELL ME EVERYTHING
Over the last 20+ years I have tried all kinds of irons, and could never find one that had everything I wanted. This iron combines all of my favorite features, and allows you to create 4 of my favorite styles - sleek straight, s-waves, flat iron waves, and polished curls.

GOLD METAL
Titanium plates with temperature sensing rapid heat technology outperform ceramic, delivering fast, even heat from root to tip, and are corrosion-resistant to styling products

LAID DOWN
Negative ions help lock in moisture, eliminate frizz, and enhance shine, for healthier-looking hair

SMOOTH + SLEEK
1 1/4"" plates adjust to your hair texture for smooth styling without snagging or creasing

PERFECT CURVES
Rounded body easily creates subtle bend, polished curls and textured waves

TO EACH THEIR OWN
Digital display + 4 temperature pre-sets (up to 440° F) allows you to customize the temperature to your hair type and texture

LESS STRESS
Automatic shut-off after 30 min of non-use, a heat resistant cap and 9 ft swivel cord


For video tutorials and additional product information go to kristinesshair website or follow @kristin_ess
Hair Type: All Hair Types
Number of Pieces: 2
Cable/Cord Length: 9 feet
Number of Heat Settings: 4
Heating Time: 1 minutes
Material: Plastic, Titanium
Features: Automatic Shut-Off, Corded, Safety Stand, High Heat, Instant Heat, One-Button Operation, Swivel Cord, Temperature Indicator, Power Indicator Light, Uniform Heat Recovery, Universal Voltage, Ionic, Ceramic heating elements
Power Source: Electric
Care & Cleaning: Spot or wipe clean
Warranty: 2 year limited warranty. To obtain a copy of the manufacturer's or supplier's warranty for this item prior to purchasing the item, please call Target Guest Services at 1-800-591-3869
TCIN: 75567128
UPC: 840797117655
Item Number (DPCI): 063-09-0794
Origin: Imported
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.",,187,Target/Beauty/Hair Care/Hair Styling Tools,$80.00,https://www.target.com/p/kristin-ess-3-in-one-flat-iron-1-1-4/-/A-75567128,"Kristin Ess 3-in-One Flat Iron - 1 1/4""",4.7,Hair Care
Target Beauty Box,Beauty,"Highlights
Makes a great Father's Day gift!
Features 6 essential grooming items
Build your grooming routine with our handpicked favorites
Great way to sample new items, or stock up on travel sizes
DOPP KIT ESSENTIALS

You’re fly; the products in your dopp kit should be, too. Stock it up with these essentials that’ll keep you looking groomed and feeling great— whenever, wherever. Try ‘em out, and if you love them as much as we do, find the full-size versions at Target.com/BeautyBox. Like what you tried? We want to see what you got, what you loved and how you styled it. Tag us with #TargetBeauty or #TargetBeautyBox.

WHAT'S INCLUDED

Crest Gum Detoxify Deep Clean Toothpaste
Cooling activated foam penetrates hard-to-reach areas, removing plaque bacteria for clinically proven healthier gums.

Bulldog Mens Skincare: Moisturizer, Face Wash, & Shave Gel
Moisturizer, face wash and shave gel are specially formulated with natural ingredients that keep skin healthy and hydrated.

Dove Men+Care Clean Comfort Dry Spray Antiperspirant
Antiperspirant spray goes on instantly dry and helps fight sweat and odor for up to 48 hours.

Gillette SkinGuard Men’s Razor
Unique SkinGuard razor minimizes tug and cuts hair at skin level, preventing irritation and ingrown hairs.

Old Spice Fresher Collection Deep Sea Invisible Solid Deodorant
Reduces sweat, goes on invisible and stays dry, so you smell fresh and feel clean.

Head & Shoulders Old Spice Pure Sport Men’s Anti-Dandruff 2-in-1 Shampoo & Conditioner
Gentle yet powerful formula fights dandruff while protecting your scalp against dryness, flakes and itchiness.
Number of Pieces: 6
TCIN: 54459920
UPC: 490370700820
Item Number (DPCI): 037-07-0082
Origin: Made in the USA or Imported
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.",,229,Target/Beauty/New in Beauty,$7.00,https://www.target.com/p/target-beauty-box-153-june-men-s/-/A-54459920,Target Beauty Box™ - June - Men's,4.9,New in Beauty
Target Beauty Box,Beauty,"Highlights
Features 6 summer-ready beauty items
Get fresh with summer beauty
Great way to sample new items, or stock up on travel sizes
JET-SET-GO

Summer is so close we can taste it. Whether you’re headed down the shore (#DTS) for the weekend, or catching a flight to an exotic
European island, finding trustworthy products that make your jet-set beauty routine a breeze is key. Here, the go-tos we keep in our travel bag at all times—and you
should, too! Try ‘em out, and if you love them as much as we do, find the full-size versions at Target.com/BeautyBox. Like what you tried? We want to see what you got, what you loved and how you styled it. Tag us with #TargetBeauty or #TargetBeautyBox.

WHAT'S INCLUDED

TRESemmé Between Washes Volumizing Dry Shampoo
Infused with mineral clay and citrus, a quick spritz at the roots will revitalize day-old hair so locks look fresh and full-of-life.

Pixi T-Zone Peel Off Mask
Unique green superfood blend instantly draws out impurities and lifts away oil to reveal nourished, glowing skin.

CND Vinylux Mini Duo Pack
Innovative, two-step system coupled with pro-lighttechnology builds resistance to chips and enhances durability so nails stay perfectly polished all week long.

Pantene Pro-V Intense Rescue Shots Ampoules Hair Treatment
Blend of Pro-Vitamin B5, strengthening lipids, and natural glycerin helps repair damaged hair, so locks are soft, shiny and more resilient—after just one use!

Herbal Essences Bio Renew Revitalize Cucumber & Green Tea Dry Shampoo
Bio:Renew formula made with cucumber and green tea instantly absorbs oil and adds texture, leaving hair healthy, shiny and smelling yummy.

Number of Pieces: 6
TCIN: 54459912
UPC: 490370700783
Item Number (DPCI): 037-07-0078
Origin: Made in the USA or Imported
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.",,179,Target/Beauty/New in Beauty,$7.00,https://www.target.com/p/target-beauty-box-153-june/-/A-54459912,Target Beauty Box™ - June,3.5,New in Beauty
Target Beauty Box,Beauty,"Chat with a Target Beauty Concierge
Highlights
Features 6 nourishing beauty items
Get fresh with Spring Beauty
Great way to sample new items, or stock up on travel sizes
*Coupon included is no longer valid
APRIL SHOWERS

April showers bring May flowers. But when the dark clouds roll in, who has the motivation to get dolled up? Here, the rainy-day products you need, which are sure to help you weather the storm— and make a splash in your beauty arsenal! Try ‘em out, and if you love them as much as we do, find the full-size versions at Target.com/BeautyBox.

Like what you tried? We want to see what you got, what you loved and how you styled it. Tag us with #TargetBeauty or #TargetBeautyBox.


WHAT'S INCLUDED

TIGI Bed Head After Party Smoothing Cream
Castor seed oil smooths hair and imparts shine, while anti-frizz properties help block out humidity, keeping your ‘do silky and full of life.


Soap & Glory Puffy Eye Attack Under-Eye Brightening Hydrogel Patches
Moisture-rich under-eye patches are the perfect perk-me-up for your peepers, working while you rest to reduce the appearance of dark circles and under-eye puffiness.


Dove Dry Shampoo Volume & Fullness
Weightless formula instantly absorbs oil, reviving and volumizing day-old hair so tresses look fab and feel fresh.


Crest 3D White Brilliance Toothpaste Vibrant Peppermint
Illuminating complex leaves teeth dazzlingly white and brilliantly clean by removing up to 95% of surface stains in just three days.


Degree For Women Black+White Dry Spray Antiperspirant
Goes on instantly dry for a cleaner feel and provides 48-hour protection against sweat and body odor while keeping clothes stain-free.


Bliss That’s Incredi-peel
Gradually releases glycolic acid overnight to target fine lines, discoloration and imperfections so you can
wake up to smoother, brighter-looking skin.
Number of Pieces: 6
TCIN: 54459893
UPC: 490370700509
Item Number (DPCI): 037-07-0050
Origin: Made in the USA or Imported
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.",,449,Target/Beauty/Hair Care,$5.00,https://www.target.com/p/target-beauty-box-153-april/-/A-54459893,Target Beauty Box™ - April,4.5,Hair Care
scunci,Beauty,"Chat with a Target Beauty Concierge
Highlights
Dent-free
All-day hold
3 classic colors
Tame the wildest mane with these 6 heavy-duty yet super-comfy Spiral Twisters. Specially designed for maximum elasticity and dent-free all-day hold, they provide a fun twist on ponytailing.
Hair Type: All Hair Types
Suggested Age: All Ages
Material: 50% Elastic
Package Quantity: 6
Beauty Purpose: Securing hair
TCIN: 52596924
UPC: 043194321339
Item Number (DPCI): 063-04-3165
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.",,110,Target/Beauty/Hair Care/Hair Accessories,$3.00,https://www.target.com/p/scunci-spiral-twisters-6pk/-/A-52596924,Scunci Spiral Twisters - 6pk,3.8,Hair Care
Pixi,Beauty,"Chat with a Target Beauty Concierge
Paraben Free
Cruelty Free
Highlights
Exfoliating toner leaves skin glowing
 Toner with aloe vera soothes skin to prevent irritation
 Paraben- and alcohol-free toner won't dry out skin
Treat the sensitive skin on your face with the Skintreats Glow Tonic from Pixi. Glycolic acid gently exfoliates skin to reveal healthy, glowing skin underneath, while ginseng improves circulation to keep your skin looking great. Aloe vera soothes skin as you tone, preventing irritation that can come from exfoliating. This cruelty-free skin tonic is great for all skin types, and is paraben-free so you can feel good about what you're using.
Scent: Unscented
Health Facts: Contains vitamin E, Contains Aloe, phthalate-free, Sulfate-free, butylparaben-free, formaldehyde donor-free, formaldehyde-free, nonylphenol ethoxylate free, propylparaben-free, sodium lauryl sulfate-free, aluminum-free
Product Form: Liquid
Sustainability Claims: Cruelty-free
Beauty Purpose: Skin tone improvement
Recommended Skin Type: Dry, mature, sensitive, oily, normal, combination
TCIN: 17408487
UPC: 885190821020
Item Number (DPCI): 052-18-0054
Healthcare Disclaimer:
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers.
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
Cruelty Free
A product has an independent third-party certification on pack or unqualified on-pack marketing claim relating to being cruelty-free and/or not tested on animals.
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Water, Glycolic Acid, Butylene Glycol, Glycerin, Sodium Hydroxide, Aloe Barbadensis Leaf Juice, Hamamelis Virginiana (witch Hazel) Water, Aesculus Hippocastanum (horse Chestnut) Seed Extract, Hexylene Glycol, Fructose, Glucose, Sucrose, Urea, Dextrin, Alanine, Glutamic Acid, Aspartic Acid, Hexyl Nicotinate, Panax Ginseng Root Extract, Ethylhexylglycerin, Disodium Edta, Biotin, Panthenol, Ppg-26-buteth-26, Peg-40 Hydrogenated Castor Oil, Phenoxyethanol, Fragrance, Caramel, Red 4 (ci 14700).",446,Target/Beauty/Skin Care/Facial Cleansers,$15.00,https://www.target.com/p/pixi-skintreats-glow-tonic-3-4-fl-oz/-/A-17408487,Pixi skintreats Glow Tonic - 3.4 fl oz,4.4,Skin Care
